Text,Predicted Class,Prediction Score,Highestest Toxicity Class,Toxicity Score
"Morons and motherfuckers, the Maximo Park album.",toxic,0.9999937,obscene,0.9834554
""" 
 :::I think that in this case, since I happen to be married to one of the signatories, I can claim as much access as the author to information. The statement does not discriminate between Jewish and non-Jewish citizens of Israel; it is open to all residents and citizens of Israel to sign. Looking through the list of signatories, it is clear that many are indeed Palestinians. Yes, it is important to recognise that many Israeli Jews do support the BDS call; but it is also important not to misrepresent their statement, and their active identification with Palestinian citizens of Israel.   """,obscene,7.768835e-05,obscene,7.768835e-05
"""OK, so does this mean I am suffering because I brought technology to mere mortals, or...? -D    

 """,obscene,5.01312e-05,obscene,5.01312e-05
:::Take a look at  if you haven't yet seen it. We get quite a write up.   |,toxic,2.9698958e-05,obscene,2.079913e-05
"== Controversy section == 

 Really? Just a few sentences about Akon and other stupid bullshit? Really? I guess Fox's editors are hard at work on Wikipedia. Wikipedia you're a fucki n joke.",toxic,0.9996724,obscene,0.9825827
"I'm very lonely, pathetic, and sad, so I have a lot of free time and thus",toxic,0.506312,insult,0.0066476087
"== jimmmmmmy == 

 I'm sorry jimmy, but sucking the dick of my friends mother is accepted in my country ? are you being racist and discriminating against my religion ? don't make me call the wiki gods.",toxic,0.99934536,obscene,0.62489855
"== Where can we find this piece of shit jew?!? == 

 Think fairly forward and honest...where can we find this piece of shit jew?!? That we may put a bullet in his head?!?",identity_hate,0.97519386,identity_hate,0.97519386
suck my ba.lls wiki staff im gonna ra....pe your mouths and pi.s...s on your faces,toxic,0.99999654,obscene,0.9981133
:You may want to see WP:COI,obscene,5.9246726e-05,obscene,5.9246726e-05
"== stop ruinign everlast article you faggot == 

 go and edit britney spears or something",toxic,0.99998105,obscene,0.9908798
"Regicide = Kingslaying killing =  king your king 
 Parricide = Killing your father 
 Moreover tyrion is not accuse of slaying his king, but poisoning him!!",toxic,0.98914367,threat,0.84691644
""" 

  Please stop. If you continue to vandalize Wikipedia, you will be blocked from editing.  ·  
 :If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.""",obscene,7.584146e-05,obscene,7.584146e-05
"==Rosie O'Donnell== 
 She is an idiot and I will thank you very much to not remove others' opinions from her talk page.",insult,0.9901985,insult,0.9901985
"I disagree the people need to know that Gallagher is Fianna Fail, most of what is on Wikipedia is left-wing liberal baloney, Gallagher and Davis need to be exposed for what they are Fianna Fail cronie hacks, get a life dudes, get a way from the computer, get layed or whatever, even boards.ie maybe looking for FF scum like ye.",toxic,0.9863436,insult,0.010017004
""" 
 ::GFHandel is the last editor I'd accuse of being racist.   """,insult,0.00028308717,insult,0.00028308717
"== Neutrality of Article == 

 Not to complain or anything, but this article definitely praises Brown overly for an informative encyclopedia. It also advertises his books. Not to say Brown is bad, but some other viewpoints should be included, and the article may have to be rewritten to make it less one-sided.",obscene,6.846359e-05,obscene,6.846359e-05
""" 

 ==VE newsletter== 
 Hey Dom497. The newest updates: 
 * Links now don't extend over space/punctuation/workbreaks when you type (bugzilla:51463) 
 * Users with the """"minoredit"""" preference set get working functionality (bugzilla:51515) 
 * You can tab to buttons in dialogs, including the save dialog (bugzilla:50047) 
 * We now show the  (or ) message as an edit notice (bugzilla:51459) 
 * You can scroll dialog panels like in transclusions' templates' parameter listings (bugzilla:51739) 
 * Templates that only create meta-data and no display content at all (like Template:Use dmy dates) now can't be deleted accidentally or deliberately, but still don't show up (bugzilla:51322) 
 * FlaggedRevisions integration (bugzilla:49699) 
 * Edit summary will get the section title pre-added if you launched from a section edit link (bugzilla:50872) 
 Along with some miscellaneous language support fixes. That's all for today; as always, let us know if you spot more bugs. Thanks,   """,obscene,3.6526053e-05,obscene,3.6526053e-05
""" 

 == A small forward reference == 

 The """"career"""" section of the article should include, in chronological 
 sequence (i.e. at the end, for the time being) a subsection of one or 
 two sentences mentioning Woods's hiatus from pro golf and directing the 
 reader to the appropriate part of the """"personal life"""" section.  Of course, 
 duplication between the two sections should be minimized.   """,obscene,5.4445063e-05,obscene,5.4445063e-05
"""More to the argument, cross posted from my userpage.... 
 Whether they are or arent' Japanese in origin is irrelevant as the article is in ENGLISH!!!!! Thus the closest form of recognition as to how their name should be represented in English would be either the McCune Reischauer romanization or Korean standard romanization of their name, or in game spelling in English. Hangul should then be second. Hanja 3rd. Japanese has no place in this case because 1. In Japanese versions of the game, the name is represented in romanization, and in story modes also in English! Katakana doesn't belong because it's an ENGLISH article and provides no value whatsoever to English readers. Romanization of Katakana has even LESS place, as it is romanizing something that has altered the original sound to begin with. Since we are romanizing from the source (English title), showing the source(Hangul), and showing the meaning (hanja), why is there need to show how Japanese would best estimate how to pronounce the source in their own language? Maybe if the article was in JAPANESE it would make sense. Go write an article in Japanese and use all the frigging katakana you want. I won't stop you then...Bethereds   
 Retrieved from """"http://en.wikipedia.org/wiki/User_talk:Bethereds"""" 

 """,insult,3.297541e-05,insult,3.297541e-05
""" 

 http://spectrum.ieee.org/green-tech/advanced-cars/chevy-volt-sparks-a-series-of-plugin-hybrids 
 Shows the debate of what the Volt is (search for """"parallel""""). Again may be more relevant as a debate, not a shining example of series vs parallel vs both.   """,obscene,7.118057e-05,obscene,7.118057e-05
"Ummmm, I don't understand how that proves she was born in 1977???? And I know for a fact that she is turning 31 this year, so clearly she wasn't fucking born in 1977!",obscene,0.99899036,obscene,0.99899036
"== Contact == 

 Hey Dave, did you get the email I sent ya over the weekend?",toxic,7.79558e-05,insult,5.5207973e-05
"FUCK STANFORD 
 STANFORD IS FOR PUSSIES 
 THEY BEAT OREGON  
 YOU CUNT-SUCKING BASTARDS",toxic,0.9999993,obscene,0.99997795
"==no thanks== 

 And removing a speedy tag is vandalism.",obscene,6.685269e-05,obscene,6.685269e-05
:Support unless the notability concerns can be addressed via secondary sourcing...I'm fairly doubtful of that but willing to be surprised.,obscene,0.00010373276,obscene,0.00010373276
"Regrettably this is getting worse, not better.  Now there is this.  I will be offline for 24 hours or so after today, which may help, but I simply have no idea what to do for the best after that.  I feel threatened by this editor, and sad because they are capable of great work if only they would do so.  We are asked to be bold, so I am.  We are asked to be civil, and I am.",insult,3.4657947e-05,insult,3.4657947e-05
every comment above this one is retarded. seriously. there are too many points here dispute for me to bother.,toxic,0.9583562,insult,0.0032693553
"NWoBHM is NOT a genre. It was a movement that spread worldwide, sparked other genres and helped propel heavy metal music to the monster it is today. To try to define it within tight boundaries is foolish in the extreme. It was also not exclusively British - only in origin. There is no reason I can see that some of the European, American or even Australian bands around who heavily influenced the movement could not be considered NWoBHM. For the same reason, old school bands could easily be considered NWoBHM - Priest are a shining example, as are Black Sabbath and AC/DC. All bands re-invented themselves and their sound, the latter 2 with new vocalists. I would think of Dio as a NWoBHM band even though RJD was not British.",obscene,3.2653716e-05,obscene,3.2653716e-05
